,person_ctry_code,year,total,B60L,H01M,F03D,H01L,RTA_B60L,RTA_H01M,RTA_F03D,RTA_H01L
65,ES,1999,23319.1937757,19.2261904762,41.3333333333,32.325,29.9610770571,0.335300997806,0.0804013828392,0.343430017744,0.0125179592147
66,ES,2002,27263.8171,14.0952380952,46.0983044733,108.845238095,48.5609318261,0.210252366751,0.0766963880319,0.989090485324,0.0173536164358
67,ES,2005,30155.3760084,10.9535714286,35.025,121.07975469,81.2740762942,0.147722324558,0.0526853676587,0.994763941326,0.0262589246023
68,ES,2008,32107.2108751,13.6555555556,62.1478643579,328.460222038,170.870717646,0.172966472934,0.0878011588366,2.53450674742,0.0518507096834
69,ES,2011,30303.1733871,51.0660714286,51.7353090428,406.294246032,215.296057976,0.68532957529,0.0774418209158,3.32174133777,0.0692209585966
70,FI,1999,27713.3855928,2.0,17.2642857143,22.7333333333,105.311958874,0.0293491513449,0.0282576244856,0.203229517268,0.0370235235615
71,FI,2002,33232.3305032,1.64285714286,38.9315323565,11.4283882784,118.856765992,0.0201045398968,0.0531394822699,0.0851995770337,0.0348459856012
72,FI,2005,30276.272884,4.87896825397,39.606995782,24.3468253968,242.742212761,0.0655361187987,0.0593398043913,0.199229286825,0.0781146583337
73,FI,2008,26154.4964721,3.60952380952,50.318452381,27.6045177045,211.338781144,0.0561253011162,0.0872685039867,0.261485162339,0.0787267778639
74,FI,2011,19761.078956,16.3172619048,108.066755652,36.9060846561,222.305904281,0.335808563909,0.248060765281,0.462701140786,0.109604903985
75,FR,1999,146482.074549,99.1516414141,491.264943001,52.3162698413,1556.62310388,0.275277403138,0.152127563943,0.088484161383,0.103535344295
76,FR,2002,158192.120335,140.559036715,459.998664313,77.3714285714,1978.83980267,0.36135083409,0.131901077297,0.121173881191,0.121875225435
77,FR,2005,160568.257572,154.999599871,927.869767582,84.7583333333,2541.66739956,0.392578054973,0.262122287367,0.13077838314,0.154222829184
78,FR,2008,156149.871578,213.584080299,943.341381444,137.291901154,2689.94437179,0.556265831246,0.274033636402,0.217829421264,0.167838391762
79,FR,2011,134175.193489,278.82998557,1033.5462056,204.354563492,3392.49025913,0.845127789763,0.349409159792,0.377333496825,0.246340614854
80,GB,1999,102372.506155,37.8468253968,369.197854298,23.3928571429,706.606948618,0.150349247178,0.163588380225,0.0566126107677,0.0672487491264
81,GB,2002,114826.717385,15.0791486291,486.211053299,51.5869047619,1201.26606735,0.0534058717914,0.192069540448,0.11130374349,0.101926216131
82,GB,2005,111367.348449,19.7048761424,509.917546737,137.933484848,1356.25424949,0.07195665498,0.207691487239,0.306849259151,0.118651402001
83,GB,2008,102596.305621,30.5490226398,613.846312117,214.716551042,1393.24674442,0.121093472774,0.271396690615,0.518497957578,0.132307954821
84,GB,2011,84021.8013817,68.3676056786,426.7290279,369.639563492,1411.83579825,0.330912763745,0.230375779254,1.08993277029,0.163712501015
85,GR,1999,875.931637807,0.0,6.1,1.0,4.16944444444,0.0,0.315890264348,0.282841438353,0.0463764627166
86,GR,2002,937.79201304,0.0,2.35714285714,1.0,11.8131746032,0.0,0.114013425404,0.264184127068,0.122729717732
87,GR,2005,1113.91195635,0.0714285714286,1.76120944687,4.25,10.4115840949,0.0260781173505,0.0717194185465,0.945260074124,0.0910658588287
88,GR,2008,1574.68798296,0.0,10.6540556666,12.9166666667,16.5838293651,0.0,0.306900126582,2.03221283029,0.102607699167
89,GR,2011,2598.52234401,3.65396825397,11.5393055556,36.8166666667,29.4640079365,0.57186491267,0.201432636459,3.51019513506,0.110472710366
90,HR,1999,917.431349206,0.0,0.0,2.0,1.0,0.0,0.0,0.540094394094,0.0106197933472
91,HR,2002,1235.32792365,1.0,0.133333333333,12.5,3.71203703704,0.329209893371,0.00489590629852,2.50692305656,0.029276535636
92,HR,2005,1519.38867021,0.0,2.0,5.5,5.36904761905,0.0,0.0597087158872,0.896823657149,0.0344284930727
93,HR,2008,1098.81056727,0.5,0.333333333333,6.66666666667,6.76666666667,0.185055634763,0.0137604468465,1.50313907126,0.0599986664575
94,HR,2011,813.426304251,0.797619047619,2.25,11.3333333333,1.51851851852,0.398779147701,0.125470296697,3.45185623799,0.0181882754286
95,HU,1999,3798.59033536,0.666666666667,7.83333333333,4.0,2.04166666667,0.0713742271242,0.0935407327863,0.260886005032,0.00523663159062
96,HU,2002,5363.24223583,2.83333333333,9.70833333333,7.0,9.83333333333,0.214845071146,0.0821095904195,0.323358199032,0.017863353413
97,HU,2005,4627.88500013,6.30833333333,9.5,9.33333333333,11.5557539683,0.554354033081,0.093114575133,0.499651813677,0.0243279419167
98,HU,2008,4276.74938368,3.58333333333,12.8546626984,25.8333333333,16.3734293484,0.340744256796,0.136340067012,1.49651094118,0.0373005719088
99,HU,2011,3757.32127013,3.625,4.54722222222,32.1666666667,17.3037698413,0.392360081781,0.0548964760441,2.12100150964,0.0448695837658
100,ID,1999,352.652923977,0.0,2.33333333333,0.0,1.225,0.0,0.300127586193,0.0,0.0338437315517
101,ID,2002,245.439332889,0.0,0.85,0.0,6.57142857143,0.0,0.157091028482,0.0,0.260858667661
102,ID,2005,145.796103896,0.0,0.198958333333,0.0,16.0730925325,0.0,0.0619003115532,0.0,1.07409617103
103,ID,2008,267.312590188,0.0,0.20101010101,1.0,33.4558561809,0.0,0.0341094790769,0.926816668688,1.21938929035
104,ID,2011,256.149874642,0.0,0.323055555556,0.0357142857143,35.4391564454,0.0,0.0572083847003,0.0345430810048,1.3479657893
105,IE,1999,4342.07257049,1.03703703704,3.0912037037,1.5,21.1252802687,0.0971297623237,0.032292908838,0.0855869266281,0.047401822938
106,IE,2002,5869.1330457,1.03703703704,1.53240740741,3.83333333333,59.6477464561,0.0718580535625,0.0118434139042,0.161813920823,0.0990169917276
